地区,考生类别,批次,分数线
北京,理科,本科一批,532.0
北京,理科,本科二批,429.0
北京,文科,本科一批,568.0
北京,文科,本科二批,477.0
天津,理科,本科一批,515.0
天津,理科,本科二批,394.0
天津,文科,本科一批,529.0
天津,文科,本科二批,408.0
河北,理科,本科一批,494.0
河北,理科,本科二批,338.0
河北,文科,本科一批,547.0
河北,文科,本科二批,432.0
河南,理科,本科一批,492.0
河南,理科,本科二批,357.0
河南,文科,本科一批,541.0
河南,文科,本科二批,429.0
山东,理科,本科一批,537.0
山东,理科,本科二批,451.0
山东,文科,本科一批,530.0
山东,文科,本科二批,474.0
山西,理科,本科一批,504.0
山西,理科,本科二批,424.0
山西,文科,本科一批,545.0
山西,文科,本科二批,477.0
陕西,理科,本科一批,464.0
陕西,理科,本科二批,380.0
陕西,文科,本科一批,518.0
陕西,文科,本科二批,426.0
内蒙古,理科,本科一批,478.0
内蒙古,理科,本科二批,344.0
内蒙古,文科,本科一批,511.0
内蒙古,文科,本科二批,420.0
辽宁,理科,本科一批,483.0
辽宁,理科,本科二批,346.0
辽宁,文科,本科一批,530.0
辽宁,文科,本科二批,419.0
吉林,理科,本科一批,528.0
吉林,理科,本科二批,367.0
吉林,文科,本科一批,540.0
吉林,文科,本科二批,392.0
黑龙江,理科,本科一批,469.0
黑龙江,理科,本科二批,357.0
黑龙江,文科,本科一批,493.0
黑龙江,文科,本科二批,415.0
上海,理科,本科一批,360.0
上海,理科,本科二批,
上海,文科,本科一批,367.0
上海,文科,本科二批,
江苏,理科,本科一批,339.0
江苏,理科,本科二批,290.0
江苏,文科,本科一批,336.0
江苏,文科,本科二批,273.0
安徽,理科,本科一批,486.0
安徽,理科,本科二批,408.0
安徽,文科,本科一批,533.0
安徽,文科,本科二批,472.0
江西,理科,本科一批,517.0
江西,理科,本科二批,434.0
江西,文科,本科一批,563.0
江西,文科,本科二批,494.0
湖北,理科,本科一批,503.0
湖北,理科,本科二批,361.0
湖北,文科,本科一批,551.0
湖北,文科,本科二批,429.0
湖南,理科,本科一批,501.0
湖南,理科,本科二批,443.0
湖南,文科,本科一批,562.0
湖南,文科,本科二批,526.0
重庆,理科,本科一批,508.0
重庆,理科,本科二批,404.0
重庆,文科,本科一批,527.0
重庆,文科,本科二批,428.0
四川,理科,本科一批,543.0
四川,理科,本科二批,457.0
四川,文科,本科一批,544.0
四川,文科,本科二批,479.0
贵州,理科,本科一批,476.0
贵州,理科,本科二批,371.0
贵州,文科,本科一批,556.0
贵州,文科,本科二批,459.0
云南,理科,本科一批,533.0
云南,理科,本科二批,430.0
云南,文科,本科一批,569.0
云南,文科,本科二批,483.0
广东,理科,本科一批,477.0
广东,理科,本科二批,347.0
广东,文科,本科一批,509.0
广东,文科,本科二批,399.0
广西,理科,本科一批,509.0
广西,理科,本科二批,346.0
广西,文科,本科一批,532.0
广西,文科,本科二批,395.0
福建,理科,本科一批,475.0
福建,理科,本科二批,372.0
福建,文科,本科一批,539.0
福建,文科,本科二批,441.0
甘肃,理科,本科一批,472.0
甘肃,理科,本科二批,393.0
甘肃,文科,本科一批,510.0
甘肃,文科,本科二批,422.0
宁夏,理科,本科一批,458.0
宁夏,理科,本科二批,400.0
宁夏,文科,本科一批,537.0
宁夏,文科,本科二批,474.0
新疆,理科,本科一批,455.0
新疆,理科,本科二批,323.0
新疆,文科,本科一批,506.0
新疆,文科,本科二批,373.0
西藏,理科,本科一批,441.0
西藏,理科,本科二批,330.0
西藏,文科,本科一批,455.0
西藏,文科,本科二批,355.0
海南,理科,本科一批,602.0
海南,理科,本科二批,543.0
海南,文科,本科一批,653.0
海南,文科,本科二批,577.0
浙江,理科,本科一批,600.0
浙江,理科,本科二批,439.0
浙江,文科,本科一批,603.0
浙江,文科,本科二批,462.0
青海,理科,本科一批,404.0
青海,理科,本科二批,370.0
青海,文科,本科一批,482.0
青海,文科,本科二批,436.0
